,freq.,title,author,words,code
140,50,Fiue Hundred Pointes of Good Husbandrie,Thomas Tusser,"['smell', 'ripe', 'stench', 'musk', 'stink', 'savour', 'odour', 'scented', 'aromatic', 'acrid', 'musty', 'scent']",51764
141,50,"The Flower Girl of The Ch?au d'Eau, v.2",Charles Paul de Kock,"['bouquet', 'smell']",40862
142,50,The Garden Without Walls,Coningsby Dawson,"['fragrance', 'smell', 'scented', 'musty', 'ripe', 'acrid', 'perfume', 'pungent', 'scent']",54801
143,50,The Village,Ivan Bunin,"['fetid', 'odour', 'sniff', 'scent', 'smell', 'fragrance', 'stench', 'reek', 'putrid', 'perfume', 'scented', 'aromatic', 'aroma']",59981
144,50,Beyond,John Galsworthy,"['scent', 'perfume', 'sniff', 'savour', 'smell', 'pungent', 'whiff', 'acrid', 'reek', 'scented']",2453
145,50,"Droll Stories, Complete",Honore de Balzac,"['perfume', 'odour', 'waft', 'ripe', 'smell', 'musty', 'scented', 'sniff', 'fetid', 'scent', 'musk', 'fragrance']",13260
146,50,"Three Cities Trilogy: Paris, Complete",Émile Zola,"['stench', 'fetid', 'perfume', 'scent', 'aroma', 'odour', 'scented', 'acrid', 'ripe', 'smell', 'savour']",9169
147,49,The Swiss Family Robinson,Johann David Wyss,"['musk', 'smell', 'perfume', 'ripe', 'aromatic', 'ripeness', 'scented', 'scent', 'musky']",41659
148,49,"Bentley's Miscellany, Volume I",Various,"['odorous', 'scent', 'odour', 'ripe', 'smell', 'pungent', 'fragrance', 'pungency', 'whiff', 'musty', 'fusty', 'sniff', 'musk', 'aroma', 'perfume', 'bouquet', 'acrid', 'scented', 'fetid']",44578
149,49,Villa Rubein et al,John Galsworthy,"['scent', 'odorous', 'aroma', 'sniff', 'smell', 'pungent', 'perfume', 'odour', 'fragrance', 'ripe', 'scented', 'musty', 'savour']",2639
150,49,Diana,Susan Warner,"['scent', 'smell', 'musty', 'fragrance', 'perfume', 'ripe', 'ripeness', 'scented', 'acrid', 'whiff', 'odorous', 'savour', 'odour']",29824
151,49,In the Guardianship of God,Flora Annie Steel,"['perfume', 'scented', 'bouquet', 'aromatic', 'musk', 'whiff', 'scent', 'fragrance', 'smell']",39795
152,49,South Wind,Norman Douglas,"['aroma', 'odour', 'smell', 'scent', 'scented', 'aromatic', 'ripe', 'fetid', 'musty', 'putrid', 'pungency', 'acrid', 'savour', 'malodorous', 'perfume', 'fragrance', 'whiff', 'pungent']",4508
153,49,The Deliverance,Ellen Glasgow,"['smell', 'fragrance', 'scented', 'scent', 'ripe', 'sniff', 'odour', 'pungent', 'perfume', 'aroma', 'fetid']",2384
154,49,"The Rāmāyana, Volume 2",Valmiki,"['aroma', 'odorous', 'pungent', 'odour', 'ripe', 'perfume', 'smell', 'fragrance', 'scented', 'scent', 'savour']",57826
155,49,The conquest of Rome,Matilde Serao,"['smell', 'acrid', 'odour', 'pungent', 'sniff', 'perfume', 'scented', 'aroma', 'fragrance', 'stench', 'savour', 'aromatic', 'scent', 'ripe', 'odorous']",46517
156,48,Complete Works of Robert Burns,Robert Burns and Allan Cunningham,"['reek', 'ripe', 'scent', 'waft', 'smell', 'scented', 'musty', 'perfume', 'fragrance', 'stink', 'savour']",18500
157,48,The Best Short Stories of 1919,Various,"['fragrance', 'smell', 'perfume', 'sniff', 'scent', 'ripe', 'whiff', 'scented', 'musty', 'reek', 'aroma', 'bouquet']",23445
158,48,Mosses from an Old Manse and Other Stories,Nathaniel Hawthorne,"['fragrance', 'perfume', 'scent', 'bouquet', 'smell', 'musty', 'whiff', 'acrid']",512
159,48,Don Quixote,Miqeul de Cervantes Saavedra,"['ripe', 'fragrance', 'savour', 'scented', 'smell', 'aromatic', 'scent', 'redolence', 'odour', 'fetid', 'whiff', 'putrid', 'perfume']",996
160,47,Sisters,Kathleen Norris,"['scent', 'scented', 'piney', 'fragrance', 'odour', 'aromatic', 'perfume', 'ripeness', 'bouquet', 'sniff', 'pungent', 'smell', 'whiff', 'odorous']",4947
161,47,The Drama of the Forests,Arthur Heming,"['perfume', 'scent', 'aroma', 'smell', 'stench', 'whiff', 'pungent', 'scented']",18495
162,47,Voices from the Past,Paul Alexander Bartlett,"['smell', 'perfume', 'fragrance', 'scented', 'musty', 'bouquet', 'aroma', 'ripe', 'stench', 'stink', 'sniff', 'whiff', 'putrid']",39468
163,47,"The Book of The Thousand Nights And A Night, Vol. 5 of 16",Unknown,"['musk', 'savour', 'fragrance', 'scent', 'perfume', 'scented', 'ripe', 'reek', 'smell', 'odour', 'waft', 'aromatic']",3439
