
84,87,Chambers's Twentieth Century Dictionary (part 1 of 4: A-D),Various,"['ripe', 'pungent', 'acrid', 'putrid', 'smell', 'odour', 'aromatic', 'perfume', 'aroma', 'odorous', 'fragrance', 'scent', 'bouquet', 'waft', 'pungency', 'musk']",37683
85,87,The Child's Book of Nature,Worthington Hooker,"['perfume', 'fragrance', 'bouquet', 'ripe', 'smell', 'scent', 'putrid']",58421
88,86,An Introduction to Nature-study,Ernest Stenhouse,"['scented', 'ripe', 'smell', 'musk', 'aroma', 'odour', 'fragrance', 'scent']",61273
90,86,"Useful Knowledge: Minerals, Vol. 1 of 3",William Bingley,"['smell', 'pungent', 'acrid', 'odour', 'fetid', 'putrid', 'pungency']",57898
91,86,"Ornithological Biography, Volume 2 of 5",John James Audubon,"['smell', 'ripe', 'scent', 'putrid', 'odour', 'fetid', 'scented', 'stench', 'perfume', 'acrid', 'savour', 'fragrance', 'bouquet', 'aromatic', 'musty', 'ripeness']",57191
92,85,The Tropical World,Georg Hartwig,"['smell', 'musk', 'waft', 'ripeness', 'aroma', 'aromatic', 'fragrance', 'sniff', 'stench', 'ripe', 'scented', 'odour', 'odorous', 'pungent', 'perfume', 'pungency', 'putrid', 'scent']",61520
93,85,Experiments and Observations on the Following Subjects,Thomas Henry,"['putrid', 'acrid', 'aromatic', 'smell', 'odour', 'pungent', 'aroma', 'musty', 'pungency']",46143
94,84,A treatise on the esculent funguses of England,Charles David Badham,"['smell', 'odour', 'stench', 'putrid', 'musty', 'acrid', 'fetid', 'perfume', 'fragrance', 'ripe', 'aroma', 'pungent', 'bouquet', 'scent', 'musk']",58853
95,84,Steel Traps,Arthur Robert Harding,"['scent', 'smell', 'musk', 'scented', 'perfume', 'odorous']",34229
99,82,Wayside and Woodland Blossoms,Edward Step,"['ripe', 'perfume', 'bouquet', 'fragrance', 'odour', 'musky', 'musk', 'smell', 'aromatic', 'acrid', 'pungent', 'odorous', 'scent', 'stench']",59035
102,82,A System of Midwifery,Edward Rigby,"['fetid', 'odour', 'acrid', 'putrid', 'aromatic', 'musk', 'smell', 'pungent']",40654
103,82,Ginseng and Other Medicinal Plants,Arthur Robert Harding,"['ripe', 'aromatic', 'musty', 'scent', 'acrid', 'pungent', 'fetid', 'pungency', 'perfume', 'fragrance']",34570
105,81,The Every-day Book and Table Book. Vol. 3 of 3,William Hone,"['odorous', 'smell', 'scent', 'ripe', 'perfume', 'scented', 'aromatic', 'fusty', 'whiff', 'pungent', 'odour', 'fragrance', 'savour', 'waft', 'stench', 'putrid', 'ripeness', 'acrid']",53277
108,80,Webster's Unabridged Dictionary,Noah Webster,"['musk', 'musky', 'smell', 'acrid', 'pungent', 'pungency', 'putrid', 'ripe', 'perfume', 'aromatic', 'stench', 'scent', 'fetid', 'stink', 'fragrance', 'reek', 'aroma']",247
110,79,The Senses and The Mind,Anonymous,"['scent', 'musk', 'smell', 'aroma', 'odour', 'savour', 'aromatic', 'fragrance', 'perfume', 'odorous', 'waft']",46078
111,79,"The Canadian Horticulturist, Volume I",Various,"['ripe', 'aromatic', 'fragrance', 'aroma', 'scented', 'scent', 'perfume', 'smell', 'bouquet', 'odorous', 'musky']",56616
112,79,"London Labour and the London Poor, Vol. 2 of 4",Henry Mayhew,"['putrid', 'scent', 'smell', 'savour', 'odour', 'musty', 'pungent', 'acrid', 'stench', 'reek']",60440
114,79,Popular Lectures on Zoonomia,Thomas Garnett,"['smell', 'putrid', 'odorous', 'acrid', 'odour', 'musk', 'aromatic', 'fetid']",27748
120,77,Manufacture of Chocolate and other Cacao Preparations,Paul Zipperer,"['ripe', 'aroma', 'aromatic', 'odour', 'smell', 'pungent', 'perfume', 'scented']",55584
121,77,The Charm of Gardens,Dion Clayton Calthrop,"['scent', 'smell', 'musty', 'ripe', 'scented', 'fragrance', 'perfume', 'stink', 'musk', 'aromatic', 'musky', 'odour', 'savour', 'sniff']",54641
122,77,Trees Every Child Should Know,Julia Ellen Rogers,"['ripe', 'smell', 'pungent', 'odour', 'fragrance', 'aromatic', 'ripeness', 'perfume', 'scented']",44186
123,77,Housekeeping in Old Virginia,Marion Cabell Tyree,"['scent', 'aroma', 'ripe', 'smell', 'aromatic', 'perfume', 'scented']",42450
124,77,The World I Live In,Helen Keller,"['smell', 'ripe', 'fragrance', 'scent', 'musty', 'odorous', 'pungent', 'odour', 'perfume', 'savour', 'whiff', 'scented']",27683
125,76,The Courtship of Animals,William Plane Pycraft,"['smell', 'pungent', 'odour', 'musk', 'scent', 'odorous', 'aromatic', 'ripe', 'ripeness', 'perfume', 'fragrance', 'pungency']",60517
128,76,The Every-day Book and Table Book. Vol. 2 of 3,William Hone,"['pungency', 'scent', 'ripe', 'fragrance', 'smell', 'odour', 'waft', 'aromatic', 'perfume', 'stench', 'stink', 'scented', 'musk', 'fetid', 'odorous', 'whiff', 'ripeness', 'pungent']",53276
131,75,The Life of a Fox,Thomas Smith,"['smell', 'scent', 'odour']",58769
132,75,"ΝΕΚΡΟΚΗΔΕΙΑ: Or, the Art of Embalming",Thomas Greenhill,"['smell', 'putrid', 'stink', 'stench', 'fetid', 'perfume', 'odorous', 'aromatic', 'savour', 'musty', 'scent', 'scented', 'odour', 'pungent']",57829
133,75,Fur Farming For Profit,Hermon Basil Laymon,"['scented', 'scent', 'stench', 'ripe', 'perfume', 'smell', 'musk']",42888
138,73,Fungi: Their Nature and Uses,Mordecai Cubitt Cooke,"['odour', 'ripeness', 'ripe', 'aroma', 'pungent', 'acrid', 'smell', 'pungency', 'fetid', 'sniff', 'scent', 'putrid', 'perfume']",30181
139,73,"The Garden, You, and I",Mabel Osgood Wright,"['fragrance', 'odour', 'whiff', 'malodorous', 'perfume', 'bouquet', 'scented', 'scent', 'ripeness', 'ripe', 'smell', 'pungent', 'aromatic', 'musk']",17514
141,73,"Buffon's Natural History, Volume VI of 10",Georges Louis Leclerc,"['scent', 'smell', 'musk', 'odour', 'aromatic', 'ripe', 'putrid', 'fetid', 'stench', 'perfume', 'scented', 'savour']",45731
142,73,Webster's Unabridged Dictionary,Noah Webster,"['aroma', 'ripe', 'scent', 'aromatic', 'stench', 'stink', 'smell', 'odorous', 'acrid', 'waft', 'pungent', 'perfume', 'putrid', 'ripeness', 'musk', 'bouquet', 'fragrance', 'fetid']",248
146,72,Common Sense in the Household,Marion Harland,"['ripe', 'pungent', 'aroma', 'sniff', 'aromatic', 'smell', 'malodorous', 'musty', 'scented', 'whiff', 'ripeness', 'musk']",48804
147,72,Italy; with sketches of Spain and Portugal,William Beckford,"['perfume', 'scented', 'aromatic', 'stench', 'odour', 'fragrance', 'pungent', 'musky', 'musk', 'ripe', 'scent', 'fusty', 'smell']",41150
149,72,"Woman's Institute Library of Cookery, Vol. 5",the,"['ripe', 'ripeness', 'pungent', 'musty', 'aromatic']",9939
150,72,The Highlands of Ethiopia,William Cornwallis Harris,"['scent', 'aromatic', 'odour', 'smell', 'ripe', 'stench', 'fetid', 'putrid', 'reek', 'stink', 'fragrance', 'perfume', 'pungent', 'savour', 'bouquet', 'scented']",35369
154,71,"The Home Book of Verse, Vol. 2",Burton Egbert Stevenson,"['stench', 'ripe', 'scent', 'perfume', 'fragrance', 'ripeness', 'smell', 'musk', 'musty', 'waft', 'odorous']",2620
155,71,"Conversations on Chemistry, Vol. 1-2",Jane Marcet,"['smell', 'putrid', 'musk', 'pungent', 'fetid', 'perfume', 'acrid', 'savour', 'odour', 'aromatic', 'ripe']",26908
161,69,"Buffon's Natural History, Volume VII of 10",Georges Louis Leclerc,"['putrid', 'smell', 'musk', 'scent', 'perfume', 'odour', 'odorous', 'ripe', 'ripeness']",45820
162,69,Old Plymouth Trails,Winthrop Packard,"['fragrance', 'sniff', 'aromatic', 'scent', 'smell', 'aroma', 'ripe', 'perfume', 'whiff', 'musk', 'musky', 'ripeness', 'pungent']",31250
164,68,Mrs. Beeton's Dictionary of Every-Day Cookery,Isabella Mary Beeton,"['ripe', 'pungent', 'pungency', 'aroma', 'smell', 'bouquet', 'fragrance', 'musty', 'odour', 'perfume', 'ripeness', 'savour']",50191
165,68,Natural Wonders,Edwin Tenney Brewster,"['ripe', 'smell', 'scent', 'musk']",47961
167,67,The History of Sir Richard Calmady,Lucas Malet,"['ripe', 'scent', 'fragrance', 'savour', 'fusty', 'musky', 'pungent', 'odour', 'smell', 'bouquet', 'scented', 'malodorous', 'aromatic', 'aroma', 'stench']",23784
173,66,"Pleasant Talk About Fruits, Flowers and Farming",Henry Ward Beecher,"['perfume', 'odorous', 'bouquet', 'musk', 'fragrance', 'smell', 'ripe', 'scented', 'scent', 'pungent', 'musty', 'stink', 'aroma', 'stench', 'acrid', 'ripeness']",56640
174,66,Our Sentimental Garden,Agnes Sweetman Castle and Egerton Castle,"['scented', 'savour', 'scent', 'fragrance', 'perfume', 'odour', 'whiff', 'odorous', 'smell', 'pungent', 'aroma', 'waft', 'redolence', 'reek', 'ripe', 'aromatic', 'bouquet', 'musk', 'pungency', 'sniff', 'musty']",51779
175,66,The Desert World,Arthur Mangin,"['scent', 'odour', 'putrid', 'stench', 'smell', 'bouquet', 'ripe', 'perfume', 'aroma', 'musk', 'fragrance', 'aromatic', 'odorous', 'pungent', 'savour', 'scented', 'acrid']",43396
178,66,Journal of an Overland Expedition in Australia,Ludwig Leichhardt,"['scented', 'aromatic', 'ripe', 'scent', 'pungent', 'fragrance', 'odour', 'putrid', 'smell', 'musty', 'pungency', 'aroma', 'acrid']",5005
179,65,"Baily's Magazine of Sports and Pastimes, Volume 85",Various,"['odour', 'scent', 'smell', 'musty', 'perfume', 'ripe', 'ripeness', 'fragrance']",57055
181,65,Identification of the Larger Fungi,Roy Watling,"['odour', 'smell', 'aromatic', 'pungent', 'musty', 'ripe', 'sniff', 'scented']",60159
183,65,The Gastronomic Regenerator:,Alexis Soyer,"['bouquet', 'ripe', 'musty', 'aroma', 'smell', 'fragrance', 'fetid', 'perfume', 'odorous']",47444
183,65,The Gastronomic Regenerator:,Alexis Soyer,"['bouquet', 'ripe', 'musty', 'aroma', 'smell', 'fragrance', 'fetid', 'perfume', 'odorous']",47444
184,65,"The Modern Housewife or, M?g?",Alexis Soyer,"['aroma', 'ripe', 'aromatic', 'bouquet', 'perfume', 'smell']",41899
185,65,History of Epidemics in Britain (Volume I of II),Charles Creighton,"['stench', 'putrid', 'ripe', 'smell', 'reek', 'stink', 'savour', 'odour', 'musty', 'fetid', 'scent', 'whiff', 'bouquet']",42686
186,65,The Anatomy of Melancholy,Democritus Junior,"['ripe', 'putrid', 'savour', 'smell', 'stink', 'scent', 'musk', 'perfume', 'musty']",10800
187,64,Susan Lenox: Her Fall and Rise,David Graham Phillips,"['pungent', 'perfume', 'stench', 'scented', 'whiff', 'smell', 'odorous', 'bouquet', 'aroma', 'malodorous', 'sniff', 'aromatic', 'fetid', 'scent']",450
188,64,Mrs. Loudon's Entertaining Naturalist,Jane Loudon,"['smell', 'musk', 'scent', 'putrid', 'fetid', 'perfume', 'odour', 'musky', 'ripe', 'aromatic']",51166
189,64,The Feasts of Autolycus,Elizabeth Robins Pennell,"['fragrance', 'savour', 'ripe', 'perfume', 'odorous', 'scent', 'aromatic', 'ripeness', 'aroma', 'pungent', 'smell', 'bouquet', 'scented']",41696
190,63,Aristotle's History of Animals,Aristotle,"['smell', 'odour', 'putrid', 'scent', 'scented', 'acrid', 'ripe']",59058
194,62,The Biography of a Grizzly,Ernest Thompson Seton,"['piney', 'smell', 'ripe', 'whiff', 'pungent', 'scent', 'scented']",25023
